Specimen Code,Description,Processing - # Blocks,Comments,Gross Template
GALLBLADDER,Gallbladder,3,yellow,G11.A;G11.B
GANGLION CYST,Ganglion Cyst,1,yellow,G1.O;G1.P;G1.Q;G1.N;G1.E;G1.C
GASTRIC ANT BX,"Gastric Antrum, BX",1,yellow,G5.A;G5.B;G5.C;G5.D;G5.G
GROSS ONLY NOS,Gross Only,0,,G16.D
HARDWARE,Hardware,0,,G16.D
HEMORRHOIDS,Hemorrhoids,1,yellow,G6.F;G6.C
HERNIA,"Hernia Sac, Any location",1,yellow,G6.B;G7.V;G7.W
HYDROCELE,Hydrocele Sac,1,yellow,G7.V;G6.B;G7.W;G7.U
JOINT LOOSE,"Joint, Loose Body",1,yellow,G1.N;G1.M;G1.O;G1.P;G1.Q;G1.E
JOINT RESEC,"Joint, Resection",5,lilac,G1.G;G1.H;G1.I;G1.K;G1.L;G1.F
KIDNEY RESEC,"Kidney, Partial/Total Nephrectomy",15,yellow,G7.P;G7.Q;G7.R;G7.O;G7.H;G7.M
LIPOMA,Lipoma,5,yellow,G1.A;G1.B;G1.C;G1.D
LIVER,"Liver, hepatectomy",15,yellow,G11.D;G11.E;G11.F;G11.C
LIVER BX SS,"Liver Biopsy, w/Special Stains",1,white,G11.C
LIVER BX XSS,"Liver Biopsy, No Special Stains",1,white,G11.C
LIVER RESEC,"Liver, Partial Resection",10,yellow,G11.D;G11.E;G11.F;G11.C
LUNG BX,"Lung, Biopsy",1,white,G15.A;G15.B
LUNG RESEC,"Lung, Total/Lobe/Segment Resection",15,yellow,G15.B;G15.C
LUNG WEDGE BX,"Lung, Wedge Biopsy",10,yellow,G15.B;G15.C
LYMPH NODE RES,"Lymph Nodes, Regional Resection",1,yellow,G10.A;G10.B
MEDIASTINUM,"Mediastinum, Biopsy/ Resection",1,yellow,G15.E
MUSCLE BX,"Muscle, Biopsy",0,,G12.C
NAIL FUNGUS,"Nail, Fungus",1,lilac,G4.I
OMENTUM RESECT,"Omentum, Resection/Omentectomy",5,yellow,G5.V
OTHER CYTOLOGY,Misc. Cytology,0,,
OTHER SURG PATH,Miscellaneous Surgical Specimen,,yellow,G16.A;G16.B;G16.C;G16.D
OUTSIDE BLOCK,Outside Block(s),0,,
OUTSIDE SLIDE,Outside Slide(s),0,,
PANCREAS BX,"Pancreas, Biopsy",1,yellow,G5.A;G5.B;G5.U
PANCREAS RESEC,Pancreaticoduodonectomy,15,yellow,G5.U
PANCREAS SEG,"Pancreas, Segment",10,yellow,G5.U
PAP 1,"Pap Smear, liquid base One Slide",0,,
PENIS RESEC,"Penis, Resection",10,yellow,G7.S
PERIPH BL SMEAR,Peripheral Blood Smear,0,,
PILONIDAL,Pilonidal Cyst/Sinus,1,yellow,G4.F;G4.G;G4.A;G4.B
PITUITARY TUM,"Pituitary, Tumor Resection",10,yellow,G12.D
POC,Products of Conception,5,yellow,G8.G
PROST NDLE BX,"Prostate, Needle Biopsy",1,white,G7.B;G7.C;G7.D;G7.E;G7.N
PROSTATE CHIPS,"Prostate Chips, TURP",6,yellow,G7.N
SALIVARY GL RES,"Salivary Gland, resection",10,yellow,G9.F
SINUS CONTENTS,Nasal/Sinusoidal Contents,1,lilac,G9.D
SKIN CYST,"Skin, Cyst",1,pink,G4.F;G4.G;G4.A;G4.B
SKIN PUNCH,Skin Punch Biopsy,1,pink,G4.D;G4.L
SKIN PUNCH DIF,"Skin Punch Biopsy, for DIF",,,G4.L;G4.D
SKIN SHAVE,Skin Shave Biopsy,1,pink,G4.C
SKIN TAG,"Skin, Tag",1,pink,G4.E
SKIN WITH MARG,"Skin, excision, oriented",5,pink,G4.A
SKIN XMARGIN,"Skin, excision, Non-oriented",5,pink,G4.B
"SKIN, ALOPECIA",Skin for Alopecia ,1,peach,G4.J;G4.K
SM BOWEL,Small bowel,10,yellow,G5.E;G5.F;G5.G;G5.H;G5.I;G5.J;G5.A;G5.B
SOFT TISSUE TUM,"Soft Tissue, Tumor",,,G1.C;G1.D;G1.A;G1.B
SOFT TIS OTHER,"Soft Tissue, Other",5,yellow,G1.C;G1.D;G1.A;G1.B
SPERMATOCELE,Spermatocele,1,yellow,G7.W;G7.U;G7.V;G6.B
SPLEEN,Splenectomy,15,yellow,G10.C
SPUTUM,Sputum,0,,
STOM RES TUM,"Stomach, Resection, Tumor",15,yellow,G5.N;G5.O;G5.L
STOM RES XTUM,"Stomach, Resection, Not tumor",10,yellow,G5.M
SYNOVIUM,Synovium,1,yellow,G1.E;G1.N;G1.M;G1.O;G1.P;G1.Q
TENDON,Tendon/Tendon Sheath,1,yellow,G1.P;G1.O;G1.Q;G1.N;G1.M
TESTIS BX,"Testis, Biopsy",1,yellow,G16.B;G16.C
TESTIS OTHER,"Testis, Nonneoplastic, orchiectomy",15,yellow,G7.Z;G7.T
